"학교명","설립","주소","lon","lat"
"서울군자초등학교","공립","서울특별시 동대문구 한천로6길 21 , 서울군자초등학교 (장안동)",127.061517,37.5644532
"서울답십리초등학교","공립","서울특별시 동대문구 전농로3길 23 , 서울답십리초등학교 (답십리동)",127.0554461,37.568765
"서울동답초등학교","공립","서울특별시 동대문구 답십리로60길 12 (답십리동,서울동답초등학교)",127.0642055,37.5718166
"서울동원초등학교","공립","서울특별시 중랑구 송림길 114 , 서울동원초등학교 (망우동)",127.1048172,37.604949
"서울망우초등학교","공립","서울특별시 중랑구 망우로72길 49 , 망우초등학교 (망우동)",127.10329,37.598255
"서울면남초등학교","공립","서울특별시 중랑구 면목로30나길 38 (면목동,면남초등학교)",127.0881529,37.5770355
"서울면동초등학교","공립","서울특별시 중랑구 면목로57길 32 , 서울면동초등학교 (면목동,면동초등학교)",127.0865939,37.5852267
"서울면목초등학교","공립","서울특별시 중랑구 면목로 434 (면목동)",127.0876154,37.591356
"서울면북초등학교","공립","서울특별시 중랑구 용마공원로5길 32 (망우동,서울면북초등학교)",127.103512,37.594367
"서울면일초등학교","공립","서울특별시 중랑구 용마산로100길 13 (망우동)",127.0967817,37.59701
"서울면중초등학교","공립","서울특별시 중랑구 용마산로70길 43 , 서울면중초등학교 (면목동,면중초등학교)",127.0966242,37.5820628
"서울묵동초등학교","공립","서울특별시 중랑구 동일로138길 27 (중화동, 묵동초등학교)",127.081236,37.603865
"서울묵현초등학교","공립","서울특별시 중랑구 동일로157길75 , 서울묵현초등학교 (묵동)",127.0736151,37.6089984
"서울배봉초등학교","공립","서울특별시 동대문구 사가정로 193 , 서울배봉초등학교 (전농동)",127.0661224,37.5801932
"서울봉화초등학교","공립","서울특별시 중랑구 신내로15길 110 서울봉화초등학교 ",127.0920313,37.613164
"서울상봉초등학교","공립","서울특별시 중랑구 동일로126가길 11 (상봉동,상봉초등학교)",127.0836528,37.597894
"서울새솔초등학교","공립","서울특별시 중랑구 신내역로1길 164 (신내동)",127.1067657,37.6171078
"서울신내초등학교","공립","서울특별시 중랑구 용마산로125나길 22 , 서울신내초등학교 (신내동)",127.1000399,37.604088
"서울신답초등학교","공립","서울특별시 동대문구 천호대로 177 , 서울신답초등학교 (답십리동)",127.0433241,37.5729519
"서울신묵초등학교","공립","서울특별시 중랑구 동일로149길 46 (묵동,신묵초등학교)",127.0752897,37.6070199
"서울신현초등학교","공립","서울특별시 중랑구 봉화산로 188 , 서울신현초등학교 (신내동)",127.0937349,37.6053932
"서울안평초등학교","공립","서울특별시 동대문구 장한로14길 61 , 서울안평초등학교 (장안동)",127.0719604,37.5658699
"서울용두초등학교","공립","서울특별시 동대문구 천호대로13길 43 (용두동,서울용두초등학교)",127.0289663,37.5760811
"서울원묵초등학교","공립","서울특별시 중랑구 숙선옹주로 109 , 서울원묵초등학교 (묵동)",127.0860686,37.6176694
"서울이문초등학교","공립","서울특별시 동대문구 신이문로 16 , 서울이문초등학교 (이문동)",127.0641929,37.60204
"서울장평초등학교","공립","서울특별시 동대문구 답십리로 , 69길 27 (전농동)",127.0732688,37.5738145
"서울전곡초등학교","공립","서울특별시 동대문구 전농로 172 , 서울전곡초등학교 (전농동,서울전곡초등학교)",127.0565148,37.5804312
"서울전농초등학교","공립","서울특별시 동대문구 사가정로 66 (전농동)",127.0542426,37.574489
"서울전동초등학교","공립","서울특별시 동대문구 전농로16길 61 , 서울전동초등학교 (전농동)",127.0613777,37.5793958
"서울종암초등학교","공립","서울특별시 동대문구 무학로44길 25 (제기동,서울종암초등학교)",127.0313341,37.5818256
"서울중곡초등학교","공립","서울특별시 중랑구 면목로23길 20 , 서울중곡초등학교 (면목동)",127.0834868,37.5743413
"서울중랑초등학교","공립","서울특별시 중랑구 봉우재로6길 26 서울중랑초등학교 (면목동)",127.0757944,37.5892338
"서울중목초등학교","공립","서울특별시 중랑구 동일로 665 (면목동)",127.0793385,37.5897528
"서울중화초등학교","공립","서울특별시 중랑구 신내로7가길 22 , 중화초등학교 (신내동)",127.0944849,37.6033379
"서울중흥초등학교","공립","서울특별시 중랑구 봉화산로 82 서울중흥초등학교 (중화동)",127.08414,37.6016352
"서울청량초등학교","공립","서울특별시 동대문구 회기로25길 31 , 서울청량초등학교 (회기동)",127.0557261,37.5919938
"서울홍릉초등학교","공립","서울특별시 동대문구 회기로 90 (청량리동)",127.0474406,37.5909629
"서울홍파초등학교","공립","서울특별시 동대문구 고산자로 518 (제기동)서울홍파초등학교",127.0393911,37.5860789
"서울휘경초등학교","공립","서울특별시 동대문구 망우로6길 48 (휘경동,서울휘경초등학교)",127.0580445,37.5857839
"서울휘봉초등학교","공립","서울특별시 동대문구 장안벚꽃로 309 (휘경동)",127.0701535,37.5859982
"경희초등학교","사립","서울특별시 동대문구 경희대로 26 , 경희대학교 병설 경희초등학교 (회기동)",127.052544,37.5961951
"금성초등학교","사립","서울특별시 중랑구 신내로21길 55 (신내동)",127.0900306,37.6150693
"서울삼육초등학교","사립","서울특별시 동대문구 회기로10길 63 (회기동,서울삼육초등학교)",127.0478232,37.5891444
"은석초등학교","사립","서울특별시 동대문구 장안벚꽃로 205 (장안동)",127.0752098,37.5777907
"서울가재울초등학교","공립","서울특별시 서대문구 증가로10길 59 (남가좌동)",126.9250344,37.5795434
"서울갈현초등학교","공립","서울특별시 은평구 연서로29길 31 , 갈현초등학교 (갈현동)",126.9166788,37.6192486
"서울고은초등학교","공립","서울특별시 서대문구 모래내로 441 , 고은초등학교 (홍제동)",126.9433678,37.5847872
"서울공덕초등학교","공립","서울특별시 마포구 만리재옛길 13 , 공덕초등학교 (공덕동, 공덕초등ㅇ학교)",126.9540836,37.5457314
"서울구산초등학교","공립","서울특별시 은평구 서오릉로15길 16 , 서울구산초등학교 (구산동)",126.9095583,37.6123613
"서울구현초등학교","공립","서울특별시 은평구 갈현로15길 51 , 51 (구산동)",126.9058482,37.6092227
"서울금화초등학교","공립","서울특별시 서대문구 통일로 165 (천연동,서울금화초등학교)",126.9630251,37.5683284
"서울녹번초등학교","공립","서울특별시 은평구 녹번로1길 1 , 서울녹번초등학교 (녹번동)",126.926335,37.604001
"서울대신초등학교","공립","서울특별시 서대문구 이화여대2길 27 (대현동)",126.947849,37.5580828
"서울대은초등학교","공립","서울특별시 은평구 통일로69길 12-15 , 서울대은초등학교 (대조동)",126.9259733,37.6121672
"서울대조초등학교","공립","서울특별시 은평구 연서로18길 17 (대조동)",126.9195423,37.6132233
"서울동교초등학교","공립","서울특별시 마포구 월드컵로25길 86 (망원동,동교초등학교)",126.902533,37.557979
"서울마포초등학교","공립","서울특별시 마포구 도화2길 64 , 서울 마포초등학교 (도화동)",126.9496406,37.538255
"서울망원초등학교","공립","서울특별시 마포구 방울내로5길 28 (망원동)",126.9008405,37.5608234
"서울미동초등학교","공립","서울특별시 서대문구 충정로 52 , 서울미동초등학교 (미근동)",126.9658476,37.5631305
"서울북가좌초등학교","공립","서울특별시 서대문구 거북골로19길 20 , 서울북가좌초등학교 (북가좌동)",126.9076452,37.5776036
"서울북성초등학교","공립","서울특별시 서대문구 북아현로5나길 84 (북아현동)",126.951959,37.559433
"서울북한산초등학교","공립","서울특별시 은평구 대서문길 42-3 (진관동)",126.950338,37.6540608
"서울불광초등학교","공립","서울특별시 은평구 불광로 51 , 서울불광초등학교 (불광동,불광초등학교)",126.9314006,37.6121262
"서울상신초등학교","공립","서울특별시 은평구 가좌로 361 (신사동)",126.913482,37.595667
"서울상암초등학교","공립","서울특별시 마포구 월드컵북로 353 (상암동)",126.8922651,37.5759905
"서울상지초등학교","공립","서울특별시 마포구 월드컵로42길 30 , 서울상지초등학교 (상암동)",126.8820619,37.5798092
"서울서강초등학교","공립","서울특별시 마포구 독막로 113 (상수동)",126.9267606,37.5472157
"서울서교초등학교","공립","서울특별시 마포구 와우산로23길 20-27  (서교동)",126.9251258,37.5546731
"서울서신초등학교","공립","서울특별시 은평구 은평터널로 150 (신사동)",126.9074411,37.5923108
"서울성산초등학교","공립","서울특별시 마포구 양화로3길 94 (합정동)",126.9111567,37.5534098
"서울성서초등학교","공립","서울특별시 마포구 성미산로7길 24 (성산동)",126.9111163,37.5605411
"서울성원초등학교","공립","서울특별시 마포구 월드컵로36길 34 (성산동,성원초등학교)",126.9046989,37.5670057
"서울소의초등학교","공립","서울특별시 마포구 마포대로24길 42 (아현동)",126.9608016,37.5522966
"서울수리초등학교","공립","서울특별시 은평구 불광로14길 10-10 , 서울수리초등학교 (불광동)",126.9342435,37.6204888
"서울수색초등학교","공립","서울특별시 은평구 수색로16길 21 (수색동)",126.8954934,37.5850571
"서울신도초등학교","공립","서울특별시 은평구 진관1로 77-23 , 서울신도초등학교 (진관동)",126.9289746,37.6328259
"서울신북초등학교","공립","서울특별시 마포구 월드컵북로38길 26 , (중동, 신북초등학교) ",126.9049488,37.5711718
"서울신사초등학교","공립","서울특별시 은평구 가좌로 275-2 , 서울신사초등학교 (신사동)",126.9123363,37.5926138
"서울신석초등학교","공립","서울특별시 마포구 대흥로 33 , 서울신석초등학교 (신수동)",126.937863,37.5440646
"서울아현초등학교","공립","서울특별시 마포구 굴레방로 6 (아현동)",126.9559661,37.5555103
"서울안산초등학교","공립","서울 서대문구 통일로 321 (홍제동,서울안산초등학교)",126.9515239,37.5790158
"서울역촌초등학교","공립","서울특별시 은평구 은평로3길 25 (역촌동)",126.9142657,37.6017363
"서울연가초등학교","공립","서울 서대문구 증가로12가길 49-50 (남가좌동,연가초등학교)",126.9180565,37.5797481
"서울연광초등학교","공립","서울특별시 은평구 연서로35길 37 (불광동,연광초등학교)",126.9240191,37.6239483
"서울연신초등학교","공립","서울특별시 은평구 연서로 347 (불광동)",126.9283856,37.6262803
"서울연은초등학교","공립","서울특별시 은평구 백련산로2길 35 , 서울연은초등학교 (응암동)",126.9252543,37.5903823
"서울연천초등학교","공립","서울특별시 은평구 연서로34길 22 , 서울연천초등학교 (불광동)",126.9294874,37.6208582
"서울연희초등학교","공립","서울특별시 서대문구 연희로 136 , 연희초등학교 (연희동)",126.9337793,37.5691448
"서울염리초등학교","공립","서울특별시 마포구 토정로37길 37 (염리동,염리초등학교)",126.9458067,37.5423427
"서울용강초등학교","공립","서울 마포구 백범로17길 9 (대흥동,용강초등학교)",126.9437789,37.548703
"서울은명초등학교","공립","서울 은평구 은평로4길 21-9 , 서울은명초등학교 (응암동,서울은명초등학교)",126.9190931,37.5978521
"서울은빛초등학교","공립","서울특별시 은평구 진관3로 73-17 , 서울은빛초등학교 (진관동)",126.9200278,37.6351712
"서울은진초등학교","공립","서울특별시 은평구 진관1로 21-20 (진관동)",126.9260151,37.6335071
"서울은평초등학교","공립","서울특별시 은평구 은평로 239 (녹번동)",126.9341059,37.6019568
"서울응암초등학교","공립","서울특별시 은평구 가좌로6길 20 (응암동)",126.9217624,37.5882608
"서울인왕초등학교","공립","서울 서대문구 세무서길 33-9 (홍제동,서울인왕초등학교)",126.9451366,37.5897211
"서울중동초등학교","공립","서울특별시 마포구 월드컵북로 152 (성산동)",126.9046351,37.5695969
"서울증산초등학교","공립","서울특별시 은평구 증산서길 61 (증산동)서울증산초등학교",126.9041985,37.5826149
"서울진관초등학교","공립","서울특별시 은평구 진관4로 78-16 , 서울진관초등학교 (진관동)",126.9295182,37.6450135
"서울창서초등학교","공립","서울특별시 서대문구 연세로5나길 30-3 , 서울창서초등학교 (창천동)",126.9338841,37.5576323
"서울창천초등학교","공립","서울특별시 마포구 백범로1길 56 , 서울창천초등학교 (노고산동)",126.939668,37.5550078
"서울하늘초등학교","공립","서울특별시 마포구 월드컵북로 502-14 , 서울하늘초등학교 (상암동)",126.8806962,37.5855241
"서울한서초등학교","공립","서울특별시 마포구 대흥로24바길 27 , 서울한서초등학교 (염리동)",126.949278,37.55348
"서울홍연초등학교","공립","서울특별시 서대문구 백련사길 55 , 서울홍연초등학교 (홍은동)",126.930807,37.581921
"서울홍은초등학교","공립","서울특별시 서대문구 세검정로 105 , 서울홍은초등학교 (홍제동)",126.9497214,37.5971417
"서울홍제초등학교","공립","서울특별시 서대문구 홍은중앙로 13 , 홍제초등학교 (홍은동)",126.9448893,37.5931888
"경기초등학교","사립","서울특별시 서대문구 경기대로9길 10 (충정로2가)",126.9624113,37.5648332
"명지초등학교","사립","서울특별시 서대문구 명지2길 32-20 (홍은동,명지초등학교)",126.9285572,37.5833097
"선일초등학교","사립","서울특별시 은평구 갈현로29길 27 , 선일초등학교 (갈현동)",126.9132521,37.6197216
"예일초등학교","사립","서울특별시 은평구 연서로 117 , 예일초등학교 (구산동)",126.9153078,37.6098339
"은혜초등학교","사립","서울특별시 은평구 통일로78가길 20 (불광동)",126.9275474,37.6177491
"이화여자대학교사범대학부속초등학교","사립","서울특별시 서대문구 성산로 512-39 (대신동)",126.9425565,37.5607293
"추계초등학교","사립","서울특별시 서대문구 북아현로11가길 7(북아현동)",126.9531684,37.5628641
"충암초등학교","사립","서울특별시 은평구 가좌로5길 5 , 충암초등학교 (응암동)",126.9225855,37.5852815
"홍익대학교사범대학부속초등학교","사립","서울특별시 마포구 성미산로 51 (성산동)",126.9136816,37.5593519
"서울가산초등학교","공립","서울특별시 금천구 남부순환로 1304-11 , 서울가산초등학교 (독산동)",126.896424,37.477878
"서울개명초등학교","공립","서울특별시 구로구 개봉로1다길 16-9 (개봉동,개명초등학교)",126.8502899,37.4828205
"서울개봉초등학교","공립","서울특별시 구로구 개봉로16길 30-11 (개봉동)",126.8583705,37.4897388
"서울개웅초등학교","공립","서울특별시 구로구 개봉로11길 98 서울개웅초등학교 (개봉동)",126.85004,37.488153
"서울고산초등학교","공립","서울특별시 구로구 중앙로 6 , 고산초등학교 (고척동)",126.8653435,37.499291
"서울고원초등학교","공립","서울특별시 구로구 경인로46길 13 , 서울고원초등학교 (고척동)",126.8657324,37.4974301
"서울고척초등학교","공립","서울특별시 구로구 경서로 31 (고척동)",126.8569941,37.5006668
"서울구로남초등학교","공립","서울특별시 구로구 디지털로27길 76 (구로동,구로남초등학교)",126.8907595,37.4848094
"서울구로초등학교","공립","서울특별시 구로구 구로중앙로27나길 9 , 서울구로초등학교 (구로동,구로초등학교)",126.8858694,37.4968195
"서울구일초등학교","공립","서울특별시 구로구 구일로 68 (구로동)",126.8729275,37.4927953
"서울금동초등학교","공립","서울특별시 금천구 금하로30길 53번지 , 서울금동초등학교 (시흥동)",126.91634,37.4474372
"서울금산초등학교","공립","서울특별시 금천구 시흥대로24길 57 , 서울금산초등학교 (시흥동)",126.9079799,37.4412711
"서울금천초등학교","공립","서울특별시 금천구 탑골로5길 60 (시흥동)",126.9126228,37.4546495
"서울당산초등학교","공립","서울특별시 영등포구 선유로55길 32 , 서울당산초등학교 (양평동4가)",126.8961727,37.5393978
"서울당서초등학교","공립","서울특별시 영등포구 당산로 187 (당산동5가)",126.8993393,37.5314821
"서울당중초등학교","공립","서울특별시 영등포구 선유로 131 , 당중초등학교 (양평동3가)",126.890007,37.5261771
"서울대길초등학교","공립","서울특별시 영등포구 대방천로 206 서울 대길초등학교",126.9134222,37.498042
"서울대동초등학교","공립","서울특별시 영등포구 대림로21길 6 , 서울대동초등학교 (대림동)",126.9000037,37.4931391
"서울대방초등학교","공립","서울특별시 영등포구 여의대방로35길 14 (신길동,대방초등학교)",126.9193659,37.5023472
"서울대영초등학교","공립","서울특별시 영등포구 신길로23길 43 (신길동)",126.9061518,37.5023694
"서울덕의초등학교","공립","서울특별시 구로구 고척로 213 , 서울덕의초등학교 (고척동)",126.8567331,37.5060123
"서울도림초등학교","공립","서울특별시 영등포구 가마산로65길 22 (신길동)",126.9070328,37.5079604
"서울도신초등학교","공립","서울특별시 영등포구 도림로53길 32-9 , 서울도신초등학교 (대림동)",126.900567,37.4988358
"서울독산초등학교","공립","서울특별시 금천구 시흥대로104길 31 독산초등학교(독산동)",126.9000078,37.4651014
"서울동구로초등학교","공립","서울특별시 구로구 구로중앙로14길 43 (구로동)",126.8923106,37.4950456
"서울두산초등학교","공립","서울특별시 금천구 범안로11길 3 , 서울두산초등학교 (독산동)",126.8911197,37.4674898
"서울매봉초등학교","공립","서울특별시 구로구 고척로21길 55 , 서울매봉초등학교 (개봉동)",126.8444288,37.5045678
"서울문교초등학교","공립","서울특별시 금천구 독산로54길 102 (독산동, 문교초등학교)",126.9087569,37.4663236
"서울문래초등학교","공립","서울특별시 영등포구 문래로 104 (문래동3가,문래초등학교)",126.8932569,37.5185669
"서울문백초등학교","공립","서울특별시 금천구 시흥대로 47길  , 43-1 ",126.8995074,37.4470088
"서울문성초등학교","공립","서울특별시 금천구 시흥대로 460 , 서울문성초등학교 (독산동)",126.8994644,37.4747768
"서울미래초등학교","공립","서울특별시 구로구 새말로 73 , 서울미래초등학교 (구로동)",126.8880222,37.5049915
"서울백산초등학교","공립","서울특별시 금천구 시흥대로38길 78 , 서울백산초등학교 (시흥동,당직실)",126.9050911,37.4465482
"서울선유초등학교","공립","서울특별시 영등포구 선유로43가길 14 (양평동3가,서울선유초등학교)",126.8926465,37.5326104
"서울세곡초등학교","공립","서울특별시 구로구 고척로33길 34 (고척동, 세곡초등학교)",126.8491236,37.5045632
"서울시흥초등학교","공립","서울특별시 금천구 독산로23길 26 (시흥동)",126.9049575,37.4546436
"서울신구로초등학교","공립","서울특별시 구로구 가마산로27길 69 (구로동)",126.8893658,37.499552
"서울신대림초등학교","공립","서울특별시 영등포구 대림로8길 25",126.9058212,37.492244
"서울신도림초등학교","공립","서울특별시 구로구 신도림로19길 44 , 서울신도림초등학교 (신도림동)",126.8829526,37.5121509
"서울신미림초등학교","공립","서울특별시 구로구 신도림로 26 , (신미림초등학교) (신도림동)",126.8794885,37.5068909
"서울신영초등학교","공립","서울특별시 영등포구 도신로4길 32 (대림동, 신영초등학교)",126.8960072,37.5003192
"서울신흥초등학교","공립","서울특별시 금천구 독산로36나길 21 , 서울신흥초등학교 (시흥동)",126.9080905,37.4596881
"서울안천초등학교","공립","서울특별시 금천구 한내로 69-16 (독산동)",126.8883555,37.4585946
"서울여의도초등학교","공립","서울특별시 영등포구 여의대방로 439 (여의도동)",126.936812,37.522829
"서울영남초등학교","공립","서울특별시 금천구 문성로 62-15 (독산동,서울영남초등학교)",126.9098676,37.4754336
"서울영동초등학교","공립","서울특별시 영등포구 국회대로53길 20 , 서울영동초등학교 (당산동)",126.9072024,37.5266443
"서울영등포초등학교","공립","서울특별시 영등포구 경인로 756 (문래동1가)",126.8983677,37.5126511
"서울영림초등학교","공립","서울특별시 영등포구 시흥대로173길 14 , 서울영림초등학교 (대림동)",126.9024751,37.4873472
"서울영문초등학교","공립","서울특별시 영등포구 문래로 56 , 서울영문초등학교 (문래동6가)",126.8876463,37.51965
"서울영서초등학교","공립","서울특별시 구로구 도림로20길 57 (구로동)",126.8946742,37.4882883
"서울영신초등학교","공립","서울특별시 영등포구 도신로60길 23 (신길동)",126.918009,37.509968
"서울영원초등학교","공립","서울특별시 영등포구 도영로 22길 31 (도림동)",126.9022107,37.5106756
"서울영일초등학교","공립","서울특별시 구로구 남부순환로105길 218 , 서울영일초등학교 (가리봉동)",126.8837032,37.4853208
"서울영중초등학교","공립","서울특별시 영등포구 양산로 185 (영등포동7가)",126.9038411,37.5233936
"서울오류남초등학교","공립","서울특별시 구로구 서해안로24길 22 , 서울오류남초등학교 (오류동)",126.8385686,37.4893473
"서울오류초등학교","공립","서울특별시 구로구 경인로19길 39 (오류동,서울오류초등학교)",126.8423458,37.4981796
"서울오정초등학교","공립","서울특별시 구로구 경인로2길 10 , 서울오정초등학교 (오류동)",126.8262365,37.4897359
"서울온수초등학교","공립","서울특별시 구로구 부일로 893 (온수동,온수초등학교)",126.8259576,37.494228
"서울우신초등학교","공립","서울특별시 영등포구 신길로 190 , 서울우신초등학교 (신길동)",126.9117832,37.5092628
"서울윤중초등학교","공립","서울특별시 영등포구 여의나루로2길 14 (여의도동)",126.9228068,37.5197467
"서울정심초등학교","공립","서울특별시 금천구 독산로78다길 89 (독산동,정심초등학교)",126.9083123,37.4717118
"서울천왕초등학교","공립","서울특별시 구로구 천왕로1길 11 (천왕동)",126.8374889,37.4815891
"서울탑동초등학교","공립","서울특별시 금천구 탑골로 47-3 , 서울탑동초등학교 (시흥동)",126.9143956,37.4525754
"동광초등학교","사립","서울특별시 금천구 탑골로10길 45 (시흥동)",126.916402,37.4513899
"서울가인초등학교","공립","서울특별시 도봉구 도봉로136다길 4 (창동)",127.0431592,37.6599068
"서울계상초등학교","공립","서울특별시 노원구 한글비석로41가길 24 , 서울계상초등학교 (상계동)",127.0680689,37.6627685
"서울공릉초등학교","공립","서울특별시 노원구 동일로173길 12 (공릉동,서울공릉초등학교)",127.0741878,37.6188016
"서울공연초등학교","공립","서울특별시 노원구 동일로192가길 16 (공릉동,서울공연초등학교)",127.0743751,37.6268625
"서울노원초등학교","공립","서울특별시 노원구 동일로230나길 32 (상계동)",127.0582937,37.6733178
"서울노일초등학교","공립","서울특별시 노원구 동일로 1625 , 서울노일초등학교 (상계동)",127.0547368,37.6734953
"서울녹천초등학교","공립","서울특별시 노원구 마들로3길 34 (월계동,서울녹천초등학교)",127.0633545,37.6287136
"서울누원초등학교","공립","서울특별시 도봉구 마들로 859-44 (도봉동, 서울누원초등학교)",127.0498202,37.6864659
"서울당현초등학교","공립","서울특별시 노원구 동일로213길 52 (상계동) 서울당현초등학교",127.058454,37.6485979
"서울덕암초등학교","공립","서울특별시 노원구 덕릉로112길 68 (상계동,서울덕암초등학교)",127.0809566,37.66633
"서울도봉초등학교","공립","서울특별시 도봉구 도봉로173길 96 (도봉동)",127.038218,37.6793783
"서울동일초등학교","공립","서울특별시 노원구 한글비석로 566 (상계동,동일초등학교)",127.05457,37.664941
"서울방학초등학교","공립","서울특별시 도봉구 도당로9길 34 (방학동)",127.0321675,37.6640285
"서울백운초등학교","공립","서울특별시 도봉구 삼양로146길 17 , 서울백운초등학교 (쌍문동)",127.0135747,37.6529138
"서울불암초등학교","공립","서울특별시 노원구 중계로 178 , 서울불암초등학교 (중계동)",127.080346,37.650998
"서울상경초등학교","공립","서울특별시 노원구 수락산로 237 , 서울상경초등학교 (상계동)",127.0516814,37.6703596
"서울상계초등학교","공립","서울특별시 노원구 상계로9길 39 (상계동,상계초등학교)",127.0660285,37.6591689
"서울상곡초등학교","공립","서울특별시 노원구 노원로38길 34 , 서울상곡초등학교 (상계동)",127.0627589,37.6626151
"서울상수초등학교","공립","서울특별시 노원구 동일로216길 66 (상계동,상수초등학교)",127.0648197,37.6515537
