지점,신주소,구주소
강변점,서울특별시 광진구 광나루로 56길 85,서울 광진구 구의3동 546
구로점,서울특별시 구로구 경인로 482,서울특별시 구로구 구로동 636-89
김포공항점,서울시 강서구 하늘길 38,서울 강서구 방화동 886
삼양점,서울특별시 강북구 삼양로 247,서울 강북구 미아동 1359
서울역점,서울 중구 청파로 426,서울 중구 봉래동2가 122
송파점,서울 송파구 중대로 80,서울 송파구 문정동 150-2
잠실점,서울 송파구 올림픽로 240 롯데마트 잠실점,서울 송파구 잠실동 40-1
서초점,서울 서초구 서초대로 38길12,서울 서초구 서초동 1498-5
중계점,서울 노원구 노원로 330,서울 노원구 중계동 361
청량리점,서울 동대문구 왕산로 214,서울 동대문구 전농동 591-53
행당역점,서울 성동구 행당로 82 한진타운상가 B2~B3층,서울 성동구 행당2동 346번지 한진타운상가 B2~B3층
월드타워점,서울 송파구 신천동 올림픽로300,서울시 송파구 신천동 29번지
은평점,서울 은평구 진관동 79-15,서울 은평구 진관동 79-15
양평점,서울 영등포구 선유로 138-0,서울 영등포구 양평동3가 45
금천점,서울 금천구 시흥대로 291-0,서울 금천구 독산동 1155