행정구역(시군구)별,항목,단위,2016. 01 월,2016. 02 월,2016. 03 월,2016. 04 월,2016. 05 월,2016. 06 월,2016. 07 월,2016. 08 월,2016. 09 월,2016. 10 월,2016. 11 월,2016. 12 월,2017. 01 월,2017. 02 월,2017. 03 월,2017. 04 월,2017. 05 월,2017. 06 월,2017. 07 월,2017. 08 월,2017. 09 월,2017. 10 월,2017. 11 월,2017. 12 월,2018. 01 월,2018. 02 월,2018. 03 월,2018. 04 월,2018. 05 월,2018. 06 월,2018. 07 월,2018. 08 월,2018. 09 월,2018. 10 월,2018. 11 월,2018. 12 월,2019. 01 월,2019. 02 월,2019. 03 월,2019. 04 월,2019. 05 월,2019. 06 월,2019. 07 월,2019. 08 월,2019. 09 월,2019. 10 월,2019. 11 월,2019. 12 월,2020. 01 월,2020. 02 월
종로구,총전입,명,1853,2599,2847,1769,1761,1819,1675,2018,1845,1861,1683,1874,1513,2876,4272,2412,2389,2214,2306,2467,2201,1722,1730,1918,1900,2567,2757,1819,1822,1552,1705,1942,1542,2052,1725,1804,1839,2555,2335,1666,1727,1442,1718,1851,1754,1736,1695,1953,1961,2765
중구,총전입,명,1479,2114,2115,1646,1526,1533,1528,1904,1567,1822,1557,1804,1377,1938,1741,1324,1504,1533,1391,2661,2305,1622,1799,1709,1815,2119,2227,1729,1875,1535,1512,1488,1334,1833,1628,1676,1659,1951,1672,1486,1409,1685,1856,1773,1481,1599,1427,1625,1715,2302
용산구,총전입,명,2567,3416,3479,2691,2790,2709,2551,2885,2490,2757,2904,2885,2602,3540,3216,2484,2873,2877,2645,3191,3147,2752,2866,2961,3361,3583,4042,3040,3086,2920,2849,2803,2376,3453,3165,2661,3160,3356,3009,2713,2951,2701,2870,2745,2532,2890,2757,3415,3733,3985
성동구,총전입,명,2980,4080,3882,3374,4204,4061,3280,4131,3327,3534,4401,6375,5362,6412,5029,3564,3901,3654,3649,4631,3916,3282,3548,3468,3948,4560,6307,4940,4012,3758,4322,4286,3283,4428,3874,3640,3653,4323,3803,3293,3263,2612,2973,3195,2918,3370,3029,3490,3714,5003
광진구,총전입,명,3932,5397,5444,4659,4532,4530,4052,4844,4234,4576,4541,4621,3992,5739,5253,4263,4586,4445,4282,5245,4701,4415,4644,4445,4638,5321,5447,4650,4488,3952,4053,4251,3386,5766,5286,4490,4652,5356,4649,4226,4453,3606,3821,4193,3750,4510,4136,4839,4603,5811
동대문구,총전입,명,3664,5016,5020,3839,3896,3812,3618,4083,3725,4468,4206,4244,3727,5509,4758,3542,3793,3766,3574,4484,3867,3466,3874,3539,3838,4885,4918,3834,3874,4958,5756,5362,3522,5098,4672,4182,4464,5805,5206,3955,4031,3843,4259,4082,3539,3857,3998,4621,4536,6260
중랑구,총전입,명,3976,4952,5744,5061,5222,5132,4562,5376,4668,5594,5248,5031,3785,4674,5161,4605,5059,5568,4677,4882,4828,4700,4654,3792,3986,4150,5317,5076,4925,4454,4406,4274,3340,5067,4848,4325,4083,4001,4370,4206,4020,3642,3976,3816,3718,4622,4059,4933,4284,4910
성북구,총전입,명,4288,6122,5938,4500,4666,4620,4497,5529,4565,5168,4996,5111,4756,7900,6574,4541,4806,4415,4078,5096,4965,4393,5007,4754,4780,5843,5811,4564,4534,4420,4410,4898,3645,5097,4764,4381,4564,6543,8564,6595,4956,4069,5426,4986,4321,7238,5330,5249,5477,7704
강북구,총전입,명,2920,3672,4135,3707,3760,3894,3576,4203,3505,3888,3852,3679,2830,3623,4446,3766,3898,3649,3278,3563,3447,3279,3381,3071,2937,3223,4041,3449,3596,3464,3420,3457,2834,3812,3672,3036,3072,2960,3291,3175,3145,2655,2690,2817,2590,4360,3896,3395,3072,3760
도봉구,총전입,명,3091,3604,4033,3491,4017,3684,3192,3996,3607,4256,4116,3749,2818,3467,3660,3193,3687,3503,3538,3765,3582,3522,3466,2764,2872,2994,3602,3363,3844,3150,3085,3308,2631,3819,3631,3219,2789,2903,3142,3055,3147,2508,2913,2826,2690,3164,3118,3190,2827,3657
노원구,총전입,명,5374,7796,7778,6049,5687,4950,4950,5988,5326,6367,6133,5851,4949,7344,6719,4889,5177,4837,4952,5789,5576,4820,4804,4550,4954,6088,6787,4778,5028,4513,4647,4909,3907,5734,5583,4939,5082,5937,5518,4114,4107,3251,4203,4505,4371,4988,5098,6009,6302,8328
은평구,총전입,명,5440,6318,7135,6523,7179,6553,5789,6211,5510,6240,6186,5780,4579,5880,6292,5431,5948,5345,5379,6906,6675,5275,5515,5177,4983,5392,6398,5976,6006,5256,4899,5510,4562,6434,6579,5494,6182,6623,6620,6020,5393,4348,5001,5243,6534,6822,5358,5255,5019,6260
서대문구,총전입,명,4992,6037,5607,4724,5052,5032,3787,4095,3574,4107,3856,4289,3809,5830,5380,3977,4058,3849,3581,4197,3684,3247,3348,3574,4140,5056,4757,3651,3348,3262,3211,3391,2819,3660,4410,4156,4805,6004,4395,3566,3645,2955,3144,3354,3079,3385,3291,4106,5283,6869
마포구,총전입,명,4622,6165,6400,5298,5175,5027,4479,5179,4735,5008,5402,5152,4518,6713,5749,4821,4822,4474,4363,5112,4589,3822,4319,4188,4946,5873,6126,4870,4736,4431,4363,4434,3728,6213,5732,4775,5346,5839,5246,4603,4349,3368,4171,4409,5068,5454,4803,5110,5279,7622
양천구,총전입,명,4659,6233,4827,4374,5394,5863,5323,6563,5184,5784,5624,5557,4654,6577,5054,4107,4251,4218,4159,5044,4229,4027,4110,4367,4554,5706,4959,4040,4071,3975,4470,4910,3611,5084,4619,4580,4491,5397,4346,3960,3743,3076,3978,4223,3716,4508,3884,4934,4989,6959
강서구,총전입,명,6786,7858,7810,6686,7548,7003,7018,9712,8764,9642,8922,8103,6685,8584,8242,7226,8541,7998,7279,7812,7493,6603,7057,6697,6743,7411,8215,6979,6944,6350,6886,6704,5482,7769,7518,6698,6819,6964,6798,6876,6768,5396,6340,6372,6146,7177,5991,6871,6494,8129
구로구,총전입,명,4011,4893,4914,4176,4634,4464,3980,4708,4318,4766,4794,4710,3975,5107,4966,3971,4429,3994,3829,4156,4227,3754,3952,3717,4082,4225,5656,4205,4451,3818,3767,3980,3104,4820,4756,4244,4017,4542,5880,5305,4191,3600,4467,4746,4226,4863,4499,4455,4687,5579
금천구,총전입,명,2345,2726,2974,2746,2848,2573,2322,2640,2359,2804,2876,5657,3508,3570,3313,2784,3022,2628,2458,2760,2519,2639,2642,2387,2559,2548,3156,2771,2775,2308,2553,2510,2145,3001,4296,3172,3080,2936,2916,3006,2821,2386,2523,2286,2317,2479,2569,3097,3004,3186
영등포구,총전입,명,5317,6625,5988,4756,4838,4387,4406,5489,4664,5043,4925,4870,4322,5964,5349,5288,6902,4851,4830,4958,5563,4820,4822,4953,5738,6010,6581,5120,4924,4237,4557,4566,3759,5043,4668,4659,5106,5737,5586,5007,4629,3853,4454,4164,4219,4706,4328,5085,5234,9224
동작구,총전입,명,4948,6883,6197,5004,5292,5126,4357,5583,5575,6140,5630,5690,4982,7118,6086,4626,5168,4664,4639,5542,4575,4278,4625,4646,5206,6138,6135,5041,5617,5112,5081,5408,4125,5504,5362,6370,7076,7450,5848,5040,4803,3788,4308,4531,4239,4707,4206,5172,5133,7313
관악구,총전입,명,7141,9173,9513,7369,7631,7103,6630,7800,6823,7325,7357,7333,7221,9859,9474,7024,7905,6898,6875,7741,7166,6392,6788,6960,8325,9208,10051,7907,7624,7087,7305,7960,6177,7946,7279,7534,8787,9438,9033,7374,7360,6021,8247,7956,6936,7381,7114,7936,8347,10209
서초구,총전입,명,5280,7100,6098,4928,4979,5349,5333,5819,6026,7410,6575,6239,5785,8204,6602,4902,5428,5164,5958,6572,5160,4685,4962,5258,5751,7378,6631,5083,5213,5200,5736,6621,5591,8270,7125,6059,6246,7166,5574,4826,4472,3904,5222,5340,4566,5312,4779,5928,6076,7906
강남구,총전입,명,7970,10421,8360,6944,7392,7381,7276,8715,7318,7656,7807,8118,7503,10970,8254,6328,7028,6743,7238,8684,6963,6490,6781,7492,8175,9841,8627,7327,7419,6607,7161,7901,5850,7801,6679,8223,8607,10279,8100,7601,7166,6277,7528,8009,7537,8613,7095,8745,9024,11266
송파구,총전입,명,8050,9659,8715,7463,7781,7659,7480,9371,8393,10931,10392,9841,8991,13113,9694,7826,8658,7968,7936,9695,8099,9771,9781,9340,9146,9695,9836,8273,8182,8317,8104,7939,5900,9018,8160,8490,14767,17175,14828,11731,9734,7074,8122,7449,7014,8041,7790,9548,9544,11556
강동구,총전입,명,5410,6397,5927,5252,5939,5134,4495,5477,5738,6463,6183,5547,6412,10619,8193,6038,6299,5981,6204,7987,6775,5547,5582,5978,5743,5626,5776,4958,4884,4503,4322,4488,3609,5389,5319,4717,4591,5161,4863,4730,4598,3768,7078,5721,4708,12285,8762,8836,10768,14024
종로구,총전출,명,2008,2539,2679,2033,2099,2199,1921,2294,2053,2114,2063,2384,1836,2878,2963,2029,2048,2079,1919,2228,2146,1734,1911,2043,2038,2641,2693,2062,2026,1871,1949,2061,1533,2162,1857,1905,2068,2524,2414,1939,1979,1640,1880,1924,1755,1941,1773,2108,2026,2649
중구,총전출,명,1646,2195,1941,1685,1783,1740,1581,1772,1629,1814,1729,2140,1671,2232,2084,1568,1548,1630,1448,1826,1772,1513,1690,1592,1749,1947,2110,1829,1732,1657,1625,1620,1347,1880,1688,1689,1534,1839,1729,1524,1548,1366,1616,1786,1502,1742,1519,1679,1681,2237
용산구,총전출,명,2906,3688,3769,2950,3108,3019,2813,3391,2950,3336,3400,3285,2852,3786,3490,2943,3132,2848,2790,3180,3079,2670,2967,2885,3014,3341,3927,3050,3175,3161,3043,2925,2470,3500,3200,2995,3006,3272,3155,2973,3014,2517,2863,2787,2821,3157,2844,3264,3041,3679
성동구,총전출,명,3182,4406,4152,3457,3747,3870,3366,4180,3596,4322,4255,4453,3656,4956,4313,3459,3787,3504,3569,4207,3920,3448,3613,3599,3863,4361,5065,4101,3955,3400,4011,3861,3156,4623,4345,4271,4229,5042,4531,3981,3715,3181,3695,3856,3539,4370,3785,4178,4255,5650
광진구,총전출,명,4290,5526,5671,4997,5154,4919,4441,5208,4560,5228,5205,5247,4022,5783,5519,4245,4871,4410,4184,4981,4885,4569,4583,4595,4627,5471,6072,5111,5096,4476,4565,4584,3547,5740,4925,4560,4855,5452,5241,4814,4694,3920,4565,4460,4154,5050,4677,5206,4675,6040
동대문구,총전출,명,3902,5255,5170,4288,4543,4634,4267,4781,4140,4924,4750,4968,4200,5786,5087,3774,4301,4105,3961,4817,4307,3795,4491,4109,4364,5068,5502,4260,4343,4517,4788,4671,3597,5540,5562,5393,5089,5785,5924,4412,4076,3682,4266,3974,3614,4275,3974,4589,4642,6258
중랑구,총전출,명,4112,5239,5928,5156,5368,5469,5129,6039,4988,5926,5692,5777,4134,5053,5706,4822,5150,5112,4454,5061,5246,5097,5415,4697,4532,4757,5610,5493,5354,5044,4875,4776,3760,5502,5234,4679,4310,4427,4846,4900,4683,3951,4801,4487,4110,5478,4729,5210,4506,5344
성북구,총전출,명,4788,6384,6310,5079,5485,5378,5695,6768,5601,6108,6155,6645,5506,7670,6712,5089,5403,5094,4562,5647,5837,5310,5859,5532,5520,6306,6424,5173,5250,5137,5402,5594,4228,5931,5466,5046,5155,6062,6076,5126,4647,3768,4707,4647,4227,5848,5227,5679,5634,7672
강북구,총전출,명,3288,3949,4434,3935,4227,4166,3807,4404,3807,4494,4396,4040,3088,4039,4146,3772,4106,3616,3652,3764,3874,3454,3690,3608,3078,3472,4146,3922,4117,3871,4008,4205,3193,4247,4201,3340,3412,3396,4168,3908,3647,3062,3227,3238,2964,4201,3733,3666,3259,4114
도봉구,총전출,명,3302,4001,4296,3749,4078,3924,3747,4377,3882,4356,4546,4349,3186,4015,4389,3689,3935,3543,3694,3926,3992,3667,3761,3463,3152,3432,4131,3717,4152,3451,3386,3660,3031,4351,4165,3585,3344,3347,3687,3530,3361,2875,3307,3282,3192,3879,3736,3685,3388,4282
노원구,총전출,명,6284,7926,7692,6202,6028,5910,6018,6946,6145,7361,7330,7334,5806,8544,6838,5445,6108,6359,6434,7524,7038,6072,6312,6008,6133,7310,6952,5714,5878,5340,5633,5765,4546,6574,6733,6170,6108,6901,6156,5375,4871,4043,5398,5745,5012,6402,5501,6583,6552,9110
은평구,총전출,명,5868,6976,7748,7234,7751,7122,6267,6900,6011,7038,7034,6976,4920,6457,7035,5663,6598,6103,6131,7270,6633,5523,5818,5486,5253,5703,6775,6318,6523,5745,5602,5826,4998,6422,6618,5736,5839,6110,6443,6041,5718,4642,5660,6490,6730,7237,5889,5922,5565,6663
서대문구,총전출,명,3826,4723,4767,4300,5218,5150,4279,4720,4009,4385,4315,4544,3601,5351,5330,4092,4348,3705,3713,4391,4132,3515,3970,4138,4273,5032,5125,4091,3729,3520,3717,3634,2897,4191,4240,4035,4256,5110,4358,3765,3948,3076,3558,3672,3495,3797,3608,4034,4322,5869
마포구,총전출,명,5146,6376,6902,6276,6001,5934,5177,6184,5632,6279,6481,6405,5162,7214,6240,5060,5150,4958,4711,5692,5202,4617,4927,4756,5170,5930,6253,5044,4841,4462,4582,4847,3941,5815,5418,4768,5197,5834,5584,4982,4545,3713,4885,5016,4720,5287,4677,5133,5350,7291
양천구,총전출,명,5082,6901,5769,5175,6030,6147,5689,6919,5808,6823,7110,6951,5131,7394,5922,4642,5258,4768,4561,5670,5021,4458,4808,5096,5093,6150,6077,4769,4984,4628,4987,5425,3834,5735,5370,5362,5133,5954,4923,4499,4412,3564,4354,4575,4255,5252,4326,5486,5274,7488
강서구,총전출,명,6364,7728,7531,6643,7539,7344,7826,9148,7999,8981,8022,7886,6245,8327,7680,6780,7469,7145,6962,7598,7632,6767,7095,6783,6813,7463,8573,7493,7655,7034,7752,7608,6021,8518,8071,7280,6956,7369,7212,7123,7044,6021,7001,7223,6798,7979,6853,7478,6789,9370
구로구,총전출,명,4340,5255,5078,4767,4909,4759,4527,5822,5062,5650,5538,5851,4307,5872,5351,4519,5229,4530,4353,5195,5204,4457,4835,4820,5095,5513,5985,4816,4903,4182,4247,4530,3543,5456,5428,4845,4525,5002,4911,4593,4486,3634,4229,4230,3949,4785,4387,4935,4683,6139
금천구,총전출,명,2565,3022,3214,2872,3043,2843,2577,3132,2781,3233,3213,4033,2812,3427,3223,2772,2999,2732,2732,3032,2874,2815,2797,2692,2726,2984,3607,3247,3019,2661,2688,2906,2230,3157,3330,2953,2868,2952,3092,2839,2872,2451,2805,2579,2524,2854,2717,3175,2761,3399
영등포구,총전출,명,5453,6810,6321,5123,5422,5469,5491,6760,6151,6400,6153,6232,5051,7087,6210,5485,6051,4810,5122,5473,5523,4702,4961,5564,5539,6016,6581,5198,5003,4588,4922,4785,3935,5465,5145,4931,4937,5482,5332,5018,4570,4040,4661,4590,4486,5186,4679,5272,5069,7118
동작구,총전출,명,5141,6789,5995,4980,5246,5077,4696,5741,5498,6323,6165,6592,5385,7309,6248,5118,5795,4995,4903,5923,5138,4997,5533,5634,5966,6829,6782,5249,5385,4977,4820,5137,4180,5867,5396,5517,5891,6248,5682,4883,4921,4016,4832,5070,4626,5272,4913,5693,5535,7762
관악구,총전출,명,6869,8887,9259,7716,7969,7680,6923,8542,7549,8211,8285,8289,7306,9733,9428,7434,8236,7254,7354,8136,7814,6986,7542,7720,8022,9079,9467,7972,8115,7127,7547,8065,6132,8446,8385,8120,8712,9018,8873,7783,7341,6311,8164,7797,7263,8294,7585,8647,8521,10482
서초구,총전출,명,5767,7876,6691,5483,5536,5435,5427,6163,5552,6813,6733,6843,5980,8413,7773,5550,6447,6185,6666,6932,5549,5242,5817,6020,5917,7199,7161,5594,5737,5695,6713,7549,6579,9572,8650,7123,6673,7309,6464,5384,5145,4378,5311,5481,4962,5623,4992,5912,5930,7649
강남구,총전출,명,8625,11346,10605,8535,8718,8236,8120,9512,8088,8325,9208,9631,7745,11638,9334,7153,7986,7551,7825,9719,8556,7962,8749,9149,8896,10708,10540,9271,9974,8523,8431,8748,6811,8285,7964,8651,8909,10203,8656,7455,7062,6205,7532,7418,6795,7979,6855,8647,8306,10796
송파구,총전출,명,8797,11843,10291,8420,8808,8349,7766,10085,8620,10247,9640,9869,7937,11852,9930,8325,8493,7721,7811,9570,8634,8845,9270,8766,8768,9653,10013,8474,8153,7728,7682,8114,6383,9357,8692,8469,10698,12817,11947,10682,9935,7872,9067,8477,7434,9346,8487,9539,9285,12223
강동구,총전출,명,6398,7827,7487,6632,7891,6689,5451,7202,6639,8177,7330,6812,5634,7862,7225,5879,6274,6524,7830,10169,9575,7849,8330,7668,6674,6309,6567,5542,5477,4866,5006,5372,4331,6482,6602,5705,5327,5912,5838,5338,4975,4005,5981,5198,4508,7893,6254,6063,6110,7998
